panel,dataset,method,status,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n_samples,d_native,planned_role,evidence_limit
real_top30,page_blocks,LDCC,ok,0.0,0.8976795176320117,0.0,0.8976795176320117,5,1.0,4.0,102.835578,408.254,5473,10,largest_sample_case,not_high_dimensional
real_top30,page_blocks,Gauging-delta,timeout,,,,,5,,,29496.73482,1641.98,5473,10,largest_sample_case,not_high_dimensional
real_top30,page_blocks,DPC-MFP,ok,0.0962432935085547,0.0560935501553078,0.0017075877183679,0.9283756623424082,5,235.0,230.0,40.820259,1359.621,5473,10,largest_sample_case,not_high_dimensional
real_top30,solar_flare,SNI-DPC,ok,0.5018168550805802,0.4709193245778612,0.3123015979390726,0.7101313320825516,6,9.0,3.0,9.980698,200.656,1066,42,complete_real_dataset_relation,not_high_dimensional
real_top30,solar_flare,Gravity,ok,0.3950262477381804,0.5168855534709194,0.1612366096850025,0.5168855534709194,6,4.0,2.0,26.312561,,1066,42,complete_real_dataset_relation,not_high_dimensional
real_top30,solar_flare,Torque Clustering,ok,0.3729684058230156,0.1688555347091932,0.1104574702518852,0.7082551594746717,6,47.0,41.0,32.516769,1125.672,1066,42,complete_real_dataset_relation,not_high_dimensional
real_top30,solar_flare,LDCC,ok,0.0,0.3105065666041275,0.0,0.3105065666041275,6,1.0,5.0,13.854208,165.102,1066,42,complete_real_dataset_relation,not_high_dimensional
real_top30,solar_flare,Gauging-delta,ok,0.380348776896756,0.0056285178236397,0.0,1.0,6,1066.0,1060.0,526.552478,1496.711,1066,42,complete_real_dataset_relation,not_high_dimensional
real_top30,solar_flare,DPC-MFP,ok,0.4153170277697408,0.3395872420262664,0.2182860015392049,0.6960600375234521,6,41.0,35.0,33.081003,1134.465,1066,42,complete_real_dataset_relation,not_high_dimensional
real_top30,cpmp_2015_classification,SNI-DPC,ok,0.1906292141874821,0.5635673624288425,0.2515070556085415,0.5635673624288425,4,4.0,0.0,5.000847,178.262,527,552,highest_dimensional_case,not_large_sample
real_top30,cpmp_2015_classification,Gravity,ok,0.1628544330315165,0.5464895635673624,0.2170433557604474,0.5464895635673624,4,4.0,0.0,6.257335,,527,552,highest_dimensional_case,not_large_sample
real_top30,cpmp_2015_classification,Torque Clustering,ok,0.2144043807920653,0.0474383301707779,0.0086908115950951,0.6660341555977229,4,126.0,122.0,34.267265,1129.535,527,552,highest_dimensional_case,not_large_sample
real_top30,cpmp_2015_classification,LDCC,ok,0.0,0.3946869070208729,0.0,0.3946869070208729,4,1.0,3.0,7.220736,159.906,527,552,highest_dimensional_case,not_large_sample
real_top30,cpmp_2015_classification,Gauging-delta,ok,0.0093458846681496,0.3795066413662239,-0.012587371585306,0.3946869070208729,4,2.0,2.0,213.96295,476.602,527,552,highest_dimensional_case,not_large_sample
real_top30,cpmp_2015_classification,DPC-MFP,ok,0.1717187945079947,0.4990512333965844,0.2079711364445315,0.5768500948766604,4,11.0,7.0,33.65747,1135.008,527,552,highest_dimensional_case,not_large_sample
real_top30,soybean,SNI-DPC,ok,0.6983466446399942,0.5900439238653001,0.3021767040791307,0.6090775988286969,19,13.0,6.0,4.986688,164.266,683,133,complete_real_dataset_relation,not_large_sample
real_top30,soybean,Gravity,ok,0.5764619717700687,0.3645680819912152,0.1420724099641296,0.431918008784773,19,11.0,8.0,5.572094,,683,133,complete_real_dataset_relation,not_large_sample
real_top30,soybean,Torque Clustering,ok,0.7895443070776504,0.6002928257686676,0.4747725412374811,0.8814055636896047,19,33.0,14.0,31.689913,1127.246,683,133,complete_real_dataset_relation,not_large_sample
real_top30,soybean,LDCC,ok,0.0,0.1346998535871156,0.0,0.1346998535871156,19,1.0,18.0,5.059283,156.355,683,133,complete_real_dataset_relation,not_large_sample
real_top30,soybean,Gauging-delta,ok,0.5076268782509633,0.3543191800878477,0.1131705284293331,0.424597364568082,19,18.0,1.0,228.839647,700.094,683,133,complete_real_dataset_relation,not_large_sample
real_top30,soybean,DPC-MFP,ok,0.683974800031658,0.5373352855051244,0.4341595516282657,0.6456808199121523,19,32.0,13.0,30.891049,1139.195,683,133,complete_real_dataset_relation,not_large_sample
real_top30,steel_plates_fault,SNI-DPC,ok,0.3230484749550177,0.4549201442555384,0.164103156075312,0.517774343122102,7,4.0,3.0,11.756862,209.656,1941,27,complete_real_dataset_relation,not_high_dimensional
