dataset,method,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n,status,panel
cure-t2-4k,DPC-MFP,0.5133326845969883,0.174,0.0773988417083939,0.98575,6,114,108,30.927879,1268.09,4200,ok,formal21
diamond9,SNI-DPC,0.9931902786202408,0.9976666666666668,0.9947514154717112,0.9976666666666668,9,9,0,19.008493,210.145,3000,ok,formal21
diamond9,Gravity,0.7417065986580706,0.555,0.3643064384267303,0.555,9,5,4,24.111518,875.758,3000,ok,formal21
diamond9,Torque Clustering,1.0,1.0,1.0,1.0,9,9,0,29.531069,1202.324,3000,ok,formal21
diamond9,LDCC,0.9960791759348496,0.9986666666666668,0.9970028931724734,0.9986666666666668,9,9,0,4.6154,229.656,3000,ok,formal21
diamond9,Gauging-delta,0.8814707590689354,0.6666666666666666,0.7084153536290984,0.667,9,8,1,729.9083,11077.609,3000,ok,formal21
diamond9,DPC-MFP,0.6973764139994431,0.271,0.2803008320301783,0.979,9,75,66,30.892926,1200.117,3000,ok,formal21
dpb,SNI-DPC,0.9537868611558716,0.9826503140891416,0.9698127953882436,0.9826503140891416,5,5,0,41.666305,251.125,4000,ok,formal21
dpb,Gravity,0.9482221780650736,0.9745737361651212,0.9711078508490274,0.9916242895602752,5,7,2,45.182313,1313.043,4000,ok,formal21
dpb,Torque Clustering,0.99273022923558,0.9985043374214776,0.9962688087487288,0.9985043374214776,5,5,0,31.444421,1424.391,4000,ok,formal21
dpb,LDCC,0.9622761008473568,0.9814537840263236,0.9776606707137496,0.9946156147173196,5,6,1,9.1979,292.703,4000,ok,formal21
dpb,Gauging-delta,0.3078363134736887,0.0089739754711337,0.0013687141441271,1.0,5,2319,2314,327.8202,19752.035,4000,ok,formal21
dpb,DPC-MFP,0.5161729873266995,0.191743942566557,0.1046495998495828,0.9979060723900688,5,71,66,29.791044,1248.062,4000,ok,formal21
ds2c2sc13,SNI-DPC,0.9965244951750636,0.9982993197278912,0.9955555893309216,0.9982993197278912,13,13,0,5.39462,146.648,588,ok,formal21
ds2c2sc13,Gravity,0.985045007636347,0.9591836734693876,0.9690208682355398,0.9591836734693876,13,12,1,4.211645,184.188,588,ok,formal21
ds2c2sc13,Torque Clustering,0.7902847211573615,0.5799319727891157,0.59039716389842,0.5799319727891157,13,5,8,28.7091,1131.211,588,ok,formal21
ds2c2sc13,LDCC,0.9295926838975987,0.8163265306122449,0.7801184206282405,0.9132653061224488,13,14,1,2.8687,150.016,588,ok,formal21
ds2c2sc13,Gauging-delta,0.5709488875572546,0.0544217687074829,0.0128811837463122,1.0,13,483,470,23.2601,472.391,588,ok,formal21
ds2c2sc13,DPC-MFP,0.863692196524343,0.6887755102040817,0.6966930690526052,0.8095238095238095,13,12,1,29.502372,1136.477,588,ok,formal21
flame,SNI-DPC,0.832984559439943,0.975,0.9017079127464837,0.975,2,2,0,3.877647,141.77,240,ok,formal21
flame,Gravity,0.0,0.6375,0.0,0.6375,2,1,1,3.392269,161.109,240,ok,formal21
flame,Torque Clustering,1.0,1.0,1.0,1.0,2,2,0,27.078508,1129.277,240,ok,formal21
flame,LDCC,0.0,0.6375,0.0,0.6375,2,1,1,3.0118,146.941,240,ok,formal21
flame,Gauging-delta,0.9705961317536942,0.9916666666666668,0.9880938711084332,1.0,2,3,1,4.8231,128.387,240,ok,formal21
flame,DPC-MFP,0.0,0.6375,0.0,0.6375,2,1,1,28.231232,1132.418,240,ok,formal21
fourty,SNI-DPC,1.0,1.0,1.0,1.0,40,40,0,7.692423,159.508,1000,ok,formal21
fourty,Gravity,1.0,1.0,1.0,1.0,40,40,0,6.435091,237.746,1000,ok,formal21
fourty,Torque Clustering,1.0,1.0,1.0,1.0,40,40,0,28.958779,1130.781,1000,ok,formal21
fourty,LDCC,0.9952802832977604,0.975,0.9739782761584748,0.975,40,39,1,3.4925,157.84,1000,ok,formal21
fourty,Gauging-delta,0.9949098872935124,0.991,0.99074024375812,1.0,40,49,9,34.7464,1262.637,1000,ok,formal21
fourty,DPC-MFP,0.8595362870980565,0.538,0.5626481942940417,0.538,40,23,17,30.234313,1133.742,1000,ok,formal21
hypercube,SNI-DPC,1.0,1.0,1.0,1.0,8,8,0,5.596639,157.371,800,ok,formal21
hypercube,Gravity,1.0,1.0,1.0,1.0,8,8,0,5.614,207.336,800,ok,formal21
hypercube,Torque Clustering,1.0,1.0,1.0,1.0,8,8,0,28.680313,1129.453,800,ok,formal21
hypercube,LDCC,1.0,1.0,1.0,1.0,8,8,0,3.5102,154.711,800,ok,formal21
hypercube,Gauging-delta,1.0,1.0,1.0,1.0,8,8,0,53.0073,826.355,800,ok,formal21
hypercube,DPC-MFP,1.0,1.0,1.0,1.0,8,8,0,29.478344,1130.293,800,ok,formal21
longsquare,SNI-DPC,0.9896897760485074,0.9966666666666668,0.9920554332516284,0.9966666666666668,6,6,0,5.471648,155.91,900,ok,formal21
